ID,Size range 1,Size range 2,Removal efficiency,DWTPs,Study
1,1,5,0.26,DWTP-Milence,"Pivokonsky et al., 2020"
1,5,10,0.63,DWTP-Milence,"Pivokonsky et al., 2021"
1,10,50,0.57,DWTP-Milence,"Pivokonsky et al., 2022"
1,50,100,1,DWTP-Milence,"Pivokonsky et al., 2023"
1,100,1000,1,DWTP-Milence,"Pivokonsky et al., 2024"
2,1,5,0.86,DWTP-Plzen,"Pivokonsky et al., 2025"
2,5,10,0.88,DWTP-Plzen,"Pivokonsky et al., 2026"
2,10,50,0.89,DWTP-Plzen,"Pivokonsky et al., 2027"
2,50,100,1,DWTP-Plzen,"Pivokonsky et al., 2028"
2,100,1000,1,DWTP-Plzen,"Pivokonsky et al., 2029"
3,1,5,0.79,ADWTP,"Wang et al., 2020"
3,5,10,0.91,ADWTP,"Wang et al., 2021"
3,10,50,1,ADWTP,"Wang et al., 2022"
3,50,100,1,ADWTP,"Wang et al., 2023"
3,100,1000,1,ADWTP,"Wang et al., 2024"
